symbol,name,sector,price,pe,pb,div_yield,roe,debt,profit_margin,yoy,eps_growth,market,last_updated
NVDA,NVIDIA Corporation,Technology,201.67999267578125,41.15918,31.161926,2.0,100.0,7.255,55.603004,73.2,95.6,USA,2026-04-19 13:14:13
META,"Meta Platforms, Inc.",Communication Services,688.5499877929688,29.324957,8.018797,0.0,30.238,39.164,30.084,23.799999999999997,10.7,USA,2026-04-19 13:14:13
TSLA,"Tesla, Inc.",Consumer Cyclical,400.6199951171875,0.0,18.295658,0.0,4.9250003,17.763,4.0009998,-3.1,-60.6,USA,2026-04-19 13:14:13
BRK.B,BRK.B,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USA,2026-04-19 13:14:13
JNJ,Johnson & Johnson,Healthcare,234.17999267578125,21.231188,6.9151034,2.29,0.0,60.499,21.834,9.9,-52.900000000000006,USA,2026-04-19 13:14:13
V,Visa Inc.,Financial Services,317.0199890136719,29.767136,15.824099,0.0,53.954,54.612,50.233000000000004,14.6,17.4,USA,2026-04-19 13:14:13
PG,Procter & Gamble Company (The),Consumer Defensive,146.92999267578125,21.799704,6.532254,2.9,31.562,68.719,19.299999,1.5,-5.4,USA,2026-04-19 13:14:13
MA,Mastercard Incorporated,Financial Services,521.2999877929688,31.536598,60.238037,0.0,100.0,256.042,45.646997999999996,17.599999999999998,24.2,USA,2026-04-19 13:14:13
UNH,UnitedHealth Group Incorporated,Healthcare,324.6300048828125,24.518883,3.1252286,2.72,12.537999999999998,81.618,2.694,12.3,-99.9,USA,2026-04-19 13:14:13
HD,"Home Depot, Inc. (The)",Consumer Cyclical,349.3999938964844,24.571026,27.161068,2.67,100.0,514.392,8.596,-3.8,-14.2,USA,2026-04-19 13:14:13
DIS,Walt Disney Company (The),Communication Services,106.29000091552734,15.653903,1.7402054,1.41,12.024,40.909,12.8,5.2,-4.3,USA,2026-04-19 13:14:13
BAC,Bank of America Corporation,Financial Services,53.90999984741211,13.410448,1.3943202,2.08,10.644,780551979008.0,28.956,11.799999999999999,23.3,USA,2026-04-19 13:14:13
ADBE,Adobe Inc.,Technology,244.4499969482422,14.2453375,8.680753,0.002659030509775893,58.774,58.34,29.476999999999997,12.0,11.1,USA,2026-04-19 13:14:13
CRM,"Salesforce, Inc.",Technology,182.13999938964844,23.351282,2.8610475,0.0,12.3959996,29.947,17.958,12.1,17.9,USA,2026-04-19 13:14:13
NFLX,"Netflix, Inc.",Communication Services,97.30999755859375,31.491909,15.436231,0.0,48.494998,46.136,28.521,16.2,86.1,USA,2026-04-19 13:14:13
CSCO,"Cisco Systems, Inc.",Technology,86.25,31.02518,7.1369467,1.95,23.754998999999998,66.509,18.756,9.700000000000001,31.2,USA,2026-04-19 13:14:13
INTC,Intel Corporation,Technology,68.5,64.06959,2.9933577,0.18248175182481752,0.022000000000000002,37.282,-0.505,-4.1000000000000005,0.0,USA,2026-04-19 13:14:13
